"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_gamma_H","mu_gamma_H_2","p_G_D","p_G_D_2","p_H","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_H_alpha","rel_p_ICU_alpha","rho_pillar2_tests","seed_date_alpha","start_date","ta_alpha"
"east_of_england","alpha_admission",1.16906783495831e-05,-5.21063712312241e-06,1.75130812725703e-06,-5.18721320405098e-07,2.94667430016616e-08,-2.33002891083976e-07,1.95191161594629e-07,-1.3028742290495e-08,-1.46778158237207e-07,3.82270172899878e-08,-5.9298734790611e-08,-9.59500899902982e-08,8.21240478565367e-09,1.47478478016725e-06,-9.74409397024852e-08,5.25368342738053e-08,-2.39954288616118e-08,-7.16275653055525e-08,-2.25862333119839e-07,2.46990895175035e-07,1.40210180576013e-08,-8.63549916817168e-07,-2.92654988095255e-07,-6.55858906034913e-06,1.49188744239968e-05,2.18201730631998e-05,-2.29569363503302e-06,4.01997664637824e-06,9.9082844286647e-07,3.04509860685926e-06,5.98864683807565e-06,2.62572389456669e-06,-1.02648824965516e-06,-2.9079069416294e-06,-4.71718168692423e-08,-2.09054259444605e-08,-2.16115456107988e-08,-4.86890679490993e-09,-4.27271968222156e-08,-3.41290926734391e-09,-2.65401430948137e-08,-1.51771574996741e-08,-4.9093033106782e-09,-8.98770333844377e-09,-3.19535622359849e-06,2.47200076917965e-05,-1.42620566407393e-05,2.16792322883031e-05,1.43308496223248e-08,0.000139249951953985,0.000130255048450676,1.55037460057606e-06
"east_of_england","alpha_D",-5.21063712312241e-06,0.000795300818078999,-1.08776958240557e-05,1.84314004761562e-06,3.07345111694266e-06,6.73373865233222e-07,-1.17572597324058e-06,-1.09712724929293e-07,1.49752862555366e-07,-6.33447768070348e-07,4.10029061256592e-07,-1.40917904670681e-08,-8.58666656536761e-07,-1.04857685686893e-06,-2.24223645727441e-06,8.49502145177233e-07,-6.51619594396755e-07,5.53010127993107e-07,3.22536066890501e-07,-2.00899867983224e-06,-4.66727327131094e-07,2.71345248967947e-05,3.02351974381676e-05,9.10310954408266e-05,6.95601779465456e-05,-0.000156847267104663,8.34821120269597e-05,-5.72448040334982e-05,-2.5618308275395e-06,3.38106624465893e-05,-4.97457589012728e-06,-6.64697722957909e-06,3.78538139534903e-06,-5.292060907247e-05,1.18066647081862e-07,-1.52351437032873e-07,-5.05649025245652e-08,-1.28917299813312e-07,-3.34141117526708e-07,4.85979341891562e-07,-8.24022445310093e-08,-2.57743789910722e-07,1.35772623987534e-07,-6.37876012722791e-09,-9.90952146350526e-05,-0.000433626835318176,-0.000142230977147868,-4.70109780782425e-06,-2.26561896870604e-08,-0.000165574685525986,0.00076096156439655,-9.21947004837907e-06
"east_of_england","alpha_death_hosp",1.75130812725703e-06,-1.08776958240557e-05,2.1233551602572e-05,-2.03437999433052e-06,-8.34473384324315e-07,1.88310857973828e-07,-3.90757431277318e-07,3.23957322574593e-07,-3.73529254365072e-07,3.48645104629627e-07,-2.23287247557689e-07,-2.24965257728433e-08,8.41354977974755e-08,-6.00467521333974e-07,5.7183002680322e-07,-3.4474938820784e-07,2.61844735284259e-07,-5.17448378951395e-07,1.37523208040533e-07,-2.11106282714044e-08,-1.8780297318858e-07,7.2762547656887e-06,7.90651433618662e-06,8.1962409012948e-06,-2.32026513397862e-05,4.05068282767771e-05,-2.1607627022783e-05,4.5584279297465e-06,4.28258274731098e-06,4.42037703252966e-06,-1.29033962297922e-05,4.46128469369839e-06,7.9806343032872e-07,6.65589009637709e-06,-3.13476233531001e-08,-4.24662373569489e-08,-3.74284427919688e-08,-4.53823381522252e-08,4.10313033063596e-08,2.29392380736652e-08,-3.64685812083668e-08,2.21351156221589e-09,-3.41288967254789e-08,1.66764486703205e-08,1.46968486497705e-05,-1.90338957062925e-05,-1.60168870428211e-05,-3.51214460684281e-06,1.84765600626063e-08,3.71130625882892e-05,-9.21114989088074e-05,-9.30148023903207e-07
"east_of_england","alpha_H",-5.18721320405098e-07,1.84314004761562e-06,-2.03437999433052e-06,4.93605827778617e-06,2.41741536368139e-07,2.49434328310641e-08,-4.4324979094322e-08,-1.01812973813155e-08,8.38586337958445e-08,-1.85546414359567e-08,3.23927441519466e-07,6.02289843990582e-08,7.92462130754656e-08,-1.45793239265475e-06,-6.97817234854885e-08,6.42113282569076e-09,-1.5806819833677e-08,3.67106341938032e-07,-1.96690571303784e-07,2.67059475855415e-07,-2.89525997024902e-07,6.49110952214561e-06,-2.4991150077969e-06,-4.56611885645346e-07,1.32385188146929e-05,-1.85381394082926e-05,1.23139682685954e-05,-8.96171752455227e-08,-1.08138319949748e-06,-1.75782638331941e-06,1.90377328806886e-06,-9.09394496352137e-07,1.25234772518778e-06,-1.26005485890309e-06,3.49692231989394e-09,-8.1140256255556e-09,-8.69517075074423e-09,7.67371577880028e-09,8.47627818185543e-09,3.39791841765207e-08,3.902229588148e-09,-1.75895311175653e-08,-1.07235413152869e-08,-5.1053722614299e-09,3.21174772960862e-06,5.22567446666603e-06,6.89382768449761e-06,-8.61577365644841e-06,-3.50302135031965e-08,-0.0002061398710824,-6.23693245044644e-05,-3.96501575059246e-06
"east_of_england","beta1",2.94667430016616e-08,3.07345111694266e-06,-8.34473384324315e-07,2.41741536368139e-07,1.74569349178216e-06,1.34442854370589e-07,-6.01200645404798e-08,1.85181258506858e-08,3.7983414611137e-08,-3.67233154676332e-08,-8.12463395711027e-09,-1.96523600649127e-08,-4.17422048399232e-08,-1.52095468056261e-06,-3.2401573056098e-08,6.11830190760651e-08,-3.38167262642957e-08,8.31055489027768e-08,-4.80569099943319e-08,2.32340114017572e-07,-1.87898030725068e-07,2.88481274712285e-06,-7.11112274250796e-07,-3.63452309468926e-06,2.60864564335672e-05,-3.47736004715972e-07,7.87835463521647e-06,-2.76989698124938e-08,-1.55849129790996e-06,-3.24621347526106e-06,-4.64668452447133e-07,-6.79140238789233e-07,2.8198512024884e-07,-9.61228371348104e-06,4.2342848846169e-08,1.81134731213653e-08,1.25193502017475e-08,2.29351598728656e-08,-6.5722710658328e-11,1.53581738007216e-08,6.38821737723334e-09,6.3580794584406e-09,2.09319522716738e-08,-3.74547404644091e-09,7.11351755379077e-07,1.34572048458427e-05,1.44876727540997e-05,-5.80641393855787e-06,2.81261027252008e-09,7.71827438241676e-05,0.000403180705180712,2.06052781557142e-06
"east_of_england","beta10",-2.33002891083976e-07,6.73373865233222e-07,1.88310857973828e-07,2.49434328310641e-08,1.34442854370589e-07,4.74510095658397e-07,-4.89096740001723e-07,1.02388031378801e-07,-1.80910843946125e-08,1.6181133951369e-08,3.39815248222103e-08,4.97931164356486e-09,2.49519267306892e-08,-2.50655503111653e-07,4.04939715721733e-08,-2.01184510388592e-08,4.32912965693394e-10,1.11493754194022e-07,-1.46527801351717e-07,3.06396701877953e-07,-5.1667192087324e-07,-3.51460090041769e-07,-7.65633197471682e-07,8.53183814747471e-08,5.41360923731672e-07,2.48437684718577e-07,-1.75974354258726e-07,4.66618239519534e-08,-2.18585377311599e-07,-7.32301083413914e-07,2.06399555981402e-07,-1.98639900274706e-08,-4.62283419644132e-08,-4.3356881843281e-07,1.6311381329063e-09,-3.19908088023321e-09,1.6653945630095e-09,3.16074203807999e-09,1.05837654882915e-08,4.45169331479606e-09,9.51818861084978e-09,-1.49285014127096e-09,2.81818502661078e-10,1.34897790457097e-09,1.53928265736096e-06,-1.98229444596352e-06,2.95176369285051e-06,-7.31254759375937e-07,1.69740914496312e-09,-3.15718488897771e-05,2.44053301822882e-05,-3.1402577151497e-07
"east_of_england","beta11",1.95191161594629e-07,-1.17572597324058e-06,-3.90757431277318e-07,-4.4324979094322e-08,-6.01200645404798e-08,-4.89096740001723e-07,9.02421020119685e-07,-3.43059386973764e-07,1.10089253046799e-07,-6.8423047760354e-08,-3.16308738044686e-08,-1.00113865498622e-08,-4.14343073614525e-08,3.02370302259293e-07,-3.24936938781348e-08,8.94163278212735e-09,1.5513655610831e-08,-8.91347532194008e-08,8.99224339573409e-08,-1.7391353628833e-07,4.13979061875471e-07,8.18499292925265e-07,2.17422757364178e-07,1.34558495368869e-06,-4.18314393466696e-06,-3.15011120936775e-06,1.5192887190191e-06,1.17505270527583e-07,4.20290369869993e-07,1.34375015664092e-07,-5.63441555837581e-07,-5.11586817895921e-07,2.3682455307497e-07,1.46808066726199e-07,4.01608922743504e-09,1.4578195634232e-08,-2.49214397913673e-09,-3.33433913620777e-09,4.3953535519705e-09,-2.30028290695019e-09,-6.02234532866435e-09,8.22659582406463e-09,-1.38998568259431e-09,3.03068137834898e-09,-1.48530203080341e-06,-1.91598542646257e-06,-6.10497725278662e-07,-3.39722590152738e-06,-7.9034488246697e-09,0.000134105168202959,-7.83546031231757e-06,1.23002613309753e-06
"east_of_england","beta12",-1.3028742290495e-08,-1.09712724929293e-07,3.23957322574593e-07,-1.01812973813155e-08,1.85181258506858e-08,1.02388031378801e-07,-3.43059386973764e-07,3.68508121961511e-07,-2.18784648851424e-07,1.26899607889105e-07,-5.44911515684244e-08,-1.65455135492647e-08,7.81064897975298e-09,-2.8288832728414e-07,3.34328460266997e-08,-6.81365500991748e-09,-1.24327117996058e-09,1.34224391151771e-08,1.10356450575608e-08,1.13190354664958e-08,-1.13303886309754e-07,-9.07338293071769e-07,9.19247645340514e-07,9.31893961075351e-07,8.58031228963631e-07,1.67017377096574e-07,-4.73609308725019e-08,-1.76362676537843e-07,5.54863930422991e-07,-2.25336055834608e-07,4.24938038779097e-07,3.67945325555057e-07,-9.18401807727393e-08,1.82028769321415e-06,-4.78946634269788e-09,-5.33296976944197e-09,3.4476908333375e-10,3.54219123643919e-09,-1.66858884798078e-09,-4.06285686778655e-09,9.2385442630032e-10,-1.03769123025282e-10,6.57628457773779e-10,-2.76734634283113e-10,2.32385252053093e-06,-7.42542999353387e-06,7.73632314340041e-07,1.96926568426623e-06,1.35229340965182e-09,3.20579738295429e-05,-2.74080824801807e-06,6.94784889517296e-07
"east_of_england","beta13",-1.46778158237207e-07,1.49752862555366e-07,-3.73529254365072e-07,8.38586337958445e-08,3.7983414611137e-08,-1.80910843946125e-08,1.10089253046799e-07,-2.18784648851424e-07,2.35575575361282e-07,-1.52063275184122e-07,9.70937979420784e-08,3.30000056434916e-08,7.66466875451891e-09,2.37139297888094e-07,-3.96286699247049e-08,1.96076138375954e-08,-8.1733924763876e-09,9.64623500649918e-09,6.56271355438317e-09,-1.1898677430933e-08,6.68964332294525e-08,8.59681262706813e-07,-4.37692323298322e-07,-6.00539836735548e-07,1.50367981261516e-07,-7.72863170830088e-07,6.20531281056213e-08,2.156800476971e-07,-3.5710368662625e-07,-5.63400303179172e-07,-4.76629434120042e-07,-7.75223518852586e-07,1.44526894558628e-07,-1.9788450814768e-06,7.23369928604357e-09,7.81361505486415e-09,5.83261936750433e-09,1.69835683900037e-09,3.70594654916649e-10,7.876588204813e-09,5.92508884778141e-09,2.50839637142891e-10,3.54877615324486e-09,2.53638841219842e-09,-8.61865765469781e-07,4.60191367074357e-06,2.11091602758098e-06,-2.75895259423356e-06,1.22428757773642e-09,-4.96654445693205e-05,6.03997138043214e-06,-1.18426363319413e-06
"east_of_england","beta14",3.82270172899878e-08,-6.33447768070348e-07,3.48645104629627e-07,-1.85546414359567e-08,-3.67233154676332e-08,1.6181133951369e-08,-6.8423047760354e-08,1.26899607889105e-07,-1.52063275184122e-07,4.46164256235446e-07,-1.94868447733626e-07,6.08840240549319e-08,4.73102836745744e-08,4.00992437224203e-09,2.09845313734969e-08,-7.274496875219e-09,2.80477463791094e-09,4.32400127170776e-08,-7.42768156931892e-08,4.63453703968969e-08,-1.72924031783739e-08,-1.77517055139283e-06,-5.90257000486995e-07,-1.02699766322237e-06,2.41822562509434e-06,1.72250466350795e-06,-1.4886802727491e-06,2.75304119958284e-07,5.55846490317477e-09,-5.54320164016988e-08,1.48099008615139e-07,1.30464988331744e-07,-4.85374277686232e-08,3.51878479963464e-06,5.66597453855537e-09,8.0922745793788e-09,4.14085472079875e-09,1.17990667527298e-09,3.56012887851216e-09,2.4723813503523e-09,-3.18992335353038e-09,-1.36391898619473e-09,2.17596792985889e-10,9.2385319043755e-10,-1.63502580029563e-06,1.92886812771909e-06,1.96874665133872e-07,-7.01458802110285e-09,-2.20614364686956e-09,-0.000105504875163791,-4.56279615749794e-06,-2.5395871787931e-06
